User ID,Age,Income,Expenses,Savings,Family Members,Marital Status,Secondary Income,Loan EMI,Rent,Monthly Investments,Credit Score,Risk Tolerance,Health Expenses,Education Expenses,Retirement Savings,Lifestyle Score,Debt-to-Income Ratio,Monthly Subscriptions,Financial Literacy Score,Gender
1,58,95910,43370,64231,2,Married,96544,10921,46300,13214,662,High,15140,9355,229556,79,0.33,1823,63,Male
2,48,227288,37209,26552,2,Single,66586,42241,24265,70657,764,Low,18127,44159,920536,85,0.25,8447,93,Female
3,34,30068,30927,169813,5,Married,25392,30253,28094,29482,729,Medium,4282,48193,683500,31,0.2,5361,75,Male
4,27,74460,44579,26661,4,Married,32177,19969,18353,32472,720,Medium,7611,21412,895818,87,0.12,7287,84,Male
5,40,66418,19032,177097,5,Married,55182,23985,20173,74536,320,Medium,11556,8945,733553,22,0.17,7173,65,Male
6,58,148180,103254,142164,5,Married,58081,47232,38411,48187,668,High,16570,32406,820129,82,0.17,2920,49,Female
7,38,282431,88413,171746,1,Married,88387,11020,16264,31087,763,Low,5910,34358,270107,19,0.47,8848,79,Male
8,42,42337,123528,136642,4,Married,11106,35141,38445,941,396,Medium,11448,12354,922018,36,0.47,5611,95,Male
9,30,171738,133916,148156,2,Single,52754,29461,20931,99642,791,High,4985,45206,246723,23,0.2,6913,91,Male
10,30,267667,82302,70843,4,Married,6878,14352,47059,1321,652,High,8443,12291,170760,18,0.14,1291,72,Female
11,43,152233,95757,196824,1,Single,792,15344,7650,83574,394,High,17875,3089,292202,18,0.21,2924,16,Male
12,55,118064,25932,74278,4,Single,11367,41301,8469,63467,323,Medium,7441,10763,970005,99,0.42,7563,55,Male
13,59,266686,35714,99328,4,Single,38731,13125,45654,45972,679,Low,8976,20735,28092,66,0.45,3634,82,Male
14,43,23178,67803,136837,5,Married,9547,37491,48024,68604,695,Medium,2949,48636,629976,44,0.3,8239,6,Male
15,22,51831,143624,131355,4,Married,99689,19202,16592,86658,703,Low,4133,44066,625748,35,0.32,7846,35,Female
16,41,153248,66627,29198,5,Married,28568,42232,48831,39361,432,Low,12709,12877,166680,50,0.28,1513,39,Male
17,21,123306,89810,66201,5,Married,62907,709,48390,41354,353,Medium,3134,28479,97768,76,0.17,5224,0,Female
18,43,184726,55380,78271,3,Single,50212,6992,10684,66327,591,Medium,1610,43868,335184,39,0.12,69,41,Female
19,49,274292,74686,183271,1,Married,42331,33506,18457,60977,411,High,8566,47632,883624,38,0.35,6504,35,Female
20,57,203622,130321,147449,5,Single,64379,26354,11596,47191,721,High,3561,39634,677382,93,0.42,4953,38,Male
21,21,195982,55028,116578,4,Married,89843,13233,20151,55828,430,Medium,1828,5858,69434,77,0.4,2861,0,Female
22,40,110417,123141,144108,5,Married,4138,47460,12074,10136,719,Medium,19079,36896,99783,23,0.46,5694,87,Male
23,52,209323,65248,45364,5,Single,47112,4590,38259,15747,577,Low,11396,25927,774850,61,0.43,5095,62,Female
24,31,31984,20523,120227,5,Single,73229,28706,37979,66279,367,Low,11465,49587,571680,48,0.22,4910,73,Female
25,41,109312,55530,105353,2,Single,11394,13718,45743,72060,702,High,12072,19874,531939,30,0.15,5165,74,Female
26,44,212458,23769,173515,2,Married,89412,22471,8722,79402,474,Low,4465,28563,279504,80,0.27,4175,85,Female
27,46,103291,122035,137735,2,Single,39095,36486,16709,39342,579,Medium,17649,21328,353216,15,0.24,2470,55,Female
28,47,289279,89782,175316,2,Single,3353,13105,47925,65046,763,Low,2289,6723,200035,64,0.39,4572,30,Female
